project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004250,2057222,C1,,Reconyx Hyperfire 2,,
2004250,2057233,C3,,Reconyx Hyperfire 2,,
2004250,2057234,C2,,Reconyx Hyperfire 2,,
2004250,2057235,C4,,Reconyx Hyperfire 2,,
2004250,2057236,C5,,Reconyx Hyperfire 2,,
2004250,2057237,C6,,Reconyx Hyperfire 2,,
2004250,2057238,C7,,Reconyx Hyperfire 2,,
2004250,2057239,C8,,Reconyx Hyperfire 2,,
2004250,2057240,C9,,Reconyx Hyperfire 2,,
2004250,2057241,C10,,Reconyx Hyperfire 2,,
2004250,2057242,C11,,Reconyx Hyperfire 2,,
2004250,2057243,C12,,Reconyx Hyperfire 2,,
2004250,2057244,C13,,Reconyx Hyperfire 2,,
2004250,2057245,C14,,Reconyx Hyperfire 2,,
2004250,2057246,C15,,Reconyx Hyperfire 2,,
2004250,2057247,C16,,Reconyx Hyperfire 2,,
2004250,2057248,C17,,Reconyx Hyperfire 2,,
2004250,2057249,C18,,Reconyx Hyperfire 2,,
2004250,2057250,C19,,Reconyx Hyperfire 2,,
2004250,2057251,C20,,Reconyx Hyperfire 2,,
2004250,2057252,C21,,Reconyx Hyperfire 2,,
2004250,2057253,C22,,Reconyx Hyperfire 2,,
2004250,2057254,C23,,Reconyx Hyperfire 2,,
2004250,2057255,C24,,Reconyx Hyperfire 2,,
2004250,2057256,C25,,Reconyx Hyperfire 2,,
2004250,2057257,C26,,Reconyx Hyperfire 2,,
2004250,2057258,C27,,Reconyx Hyperfire 2,,
2004250,2057259,C28,,Reconyx Hyperfire 2,,
2004250,2057260,C29,,Reconyx Hyperfire 2,,
2004250,2057261,C30,,Reconyx Hyperfire 2,,
2004250,2057262,C31,,Reconyx Hyperfire 2,,
2004250,2057263,C32,,Reconyx Hyperfire 2,,
2004250,2057264,C33,,Reconyx Hyperfire 2,,
2004250,2057265,C34,,Reconyx Hyperfire 2,,
2004250,2057266,C35,,Reconyx Hyperfire 2,,
2004250,2057267,C36,,Reconyx Hyperfire 2,,
2004250,2057268,C37,,Reconyx Hyperfire 2,,
2004250,2057269,C38,,Reconyx Hyperfire 2,,
2004250,2057270,C39,,Reconyx Hyperfire 2,,
2004250,2057271,C40,,Reconyx Hyperfire 2,,
2004250,2057272,C41,,Reconyx Hyperfire 2,,
2004250,2057273,C42,,Reconyx Hyperfire 2,,
2004250,2057274,C43,,Reconyx Hyperfire 2,,
2004250,2057275,C44,,Reconyx Hyperfire 2,,
2004250,2057276,C45,,Reconyx Hyperfire 2,,
2004250,2057277,C46,,Reconyx Hyperfire 2,,
2004250,2057278,C47,,Reconyx Hyperfire 2,,
2004250,2057279,C48,,Reconyx Hyperfire 2,,
2004250,2057280,C49,,Reconyx Hyperfire 2,,
2004250,2057281,C50,,Reconyx Hyperfire 2,,
2004250,2057282,C51,,,,
2004250,2057283,C52,,Reconyx Hyperfire 2,,
2004250,2057284,C53,,Reconyx Hyperfire 2,,
2004250,2057285,C54,,Reconyx Hyperfire 2,,
2004250,2057286,C55,,Reconyx Hyperfire 2,,
2004250,2057287,C56,,Reconyx Hyperfire 2,,
2004250,2057288,C57,,Reconyx Hyperfire 2,,
2004250,2057289,C58,,Reconyx Hyperfire 2,,
2004250,2057290,C59,,Reconyx Hyperfire 2,,
2004250,2057291,C60,,Reconyx Hyperfire 2,,
2004250,2057292,C61,,Reconyx Hyperfire 2,,
2004250,2057293,C62,,Reconyx Hyperfire 2,,
2004250,2057294,C63,,Reconyx Hyperfire 2,,
2004250,2057295,C64,,Reconyx Hyperfire 2,,
2004250,2057296,C65,,Reconyx Hyperfire 2,,
2004250,2057297,C66,,Reconyx Hyperfire 2,,
2004250,2057298,C67,,Reconyx Hyperfire 2,,
2004250,2057299,C68,,Reconyx Hyperfire 2,,
2004250,2057300,C69,,Reconyx Hyperfire 2,,
2004250,2057301,C70,,Reconyx Hyperfire 2,,
2004250,2057302,C71,,Reconyx Hyperfire 2,,
2004250,2057303,C72,,Reconyx Hyperfire 2,,